REF_DATE,GEO,Type of grain,UOM,SCALAR_FACTOR,VALUE
2001-08,Canada,"All grains, total",Tonnes,units,2711927
2001-09,Canada,"All grains, total",Tonnes,units,2803258
2001-10,Canada,"All grains, total",Tonnes,units,3438801
2001-11,Canada,"All grains, total",Tonnes,units,2607750
2001-12,Canada,"All grains, total",Tonnes,units,2347660
2002-01,Canada,"All grains, total",Tonnes,units,2196180
2002-02,Canada,"All grains, total",Tonnes,units,2278940
2002-03,Canada,"All grains, total",Tonnes,units,2034520
2002-04,Canada,"All grains, total",Tonnes,units,1927490
2002-05,Canada,"All grains, total",Tonnes,units,1816782
2002-06,Canada,"All grains, total",Tonnes,units,2029100
2002-07,Canada,"All grains, total",Tonnes,units,3258939
2002-08,Canada,"All grains, total",Tonnes,units,1978305
2002-09,Canada,"All grains, total",Tonnes,units,2488510
2002-10,Canada,"All grains, total",Tonnes,units,2830730
2002-11,Canada,"All grains, total",Tonnes,units,2490004
2002-12,Canada,"All grains, total",Tonnes,units,2414423
2003-01,Canada,"All grains, total",Tonnes,units,1134223
2003-02,Canada,"All grains, total",Tonnes,units,1419221
2003-03,Canada,"All grains, total",Tonnes,units,1347072
2003-04,Canada,"All grains, total",Tonnes,units,1565807
2003-05,Canada,"All grains, total",Tonnes,units,1221951
2003-06,Canada,"All grains, total",Tonnes,units,1837554
2003-07,Canada,"All grains, total",Tonnes,units,2687594
2003-08,Canada,"All grains, total",Tonnes,units,3550525
2003-09,Canada,"All grains, total",Tonnes,units,3485728
2003-10,Canada,"All grains, total",Tonnes,units,3435467
2003-11,Canada,"All grains, total",Tonnes,units,2814731
2003-12,Canada,"All grains, total",Tonnes,units,3298791
2004-01,Canada,"All grains, total",Tonnes,units,1939041
2004-02,Canada,"All grains, total",Tonnes,units,2132818
2004-03,Canada,"All grains, total",Tonnes,units,2996421
2004-04,Canada,"All grains, total",Tonnes,units,2007769
2004-05,Canada,"All grains, total",Tonnes,units,1657012
2004-06,Canada,"All grains, total",Tonnes,units,3273681
2004-07,Canada,"All grains, total",Tonnes,units,3582249
2004-08,Canada,"All grains, total",Tonnes,units,1761503
2004-09,Canada,"All grains, total",Tonnes,units,3571718
2004-10,Canada,"All grains, total",Tonnes,units,3126021
2004-11,Canada,"All grains, total",Tonnes,units,3283404
2004-12,Canada,"All grains, total",Tonnes,units,3220838
2005-01,Canada,"All grains, total",Tonnes,units,2626185
2005-02,Canada,"All grains, total",Tonnes,units,2549072
2005-03,Canada,"All grains, total",Tonnes,units,2926703
2005-04,Canada,"All grains, total",Tonnes,units,2360259
2005-05,Canada,"All grains, total",Tonnes,units,1806247
2005-06,Canada,"All grains, total",Tonnes,units,3170530
2005-07,Canada,"All grains, total",Tonnes,units,3944142
2005-08,Canada,"All grains, total",Tonnes,units,2749093
2005-09,Canada,"All grains, total",Tonnes,units,3183867
2005-10,Canada,"All grains, total",Tonnes,units,3040846
2005-11,Canada,"All grains, total",Tonnes,units,3765434
2005-12,Canada,"All grains, total",Tonnes,units,2561518
2006-01,Canada,"All grains, total",Tonnes,units,2854254
2006-02,Canada,"All grains, total",Tonnes,units,2561822
2006-03,Canada,"All grains, total",Tonnes,units,3295409
2006-04,Canada,"All grains, total",Tonnes,units,2903046
2006-05,Canada,"All grains, total",Tonnes,units,2930020
2006-06,Canada,"All grains, total",Tonnes,units,3389602
2006-07,Canada,"All grains, total",Tonnes,units,4475017
2006-08,Canada,"All grains, total",Tonnes,units,4075849
2006-09,Canada,"All grains, total",Tonnes,units,3222093
2006-10,Canada,"All grains, total",Tonnes,units,3517675
2006-11,Canada,"All grains, total",Tonnes,units,4005100
2006-12,Canada,"All grains, total",Tonnes,units,2845979
2007-01,Canada,"All grains, total",Tonnes,units,3299124
2007-02,Canada,"All grains, total",Tonnes,units,2659962
2007-03,Canada,"All grains, total",Tonnes,units,2861460
2007-04,Canada,"All grains, total",Tonnes,units,2498545
2007-05,Canada,"All grains, total",Tonnes,units,3071935
2007-06,Canada,"All grains, total",Tonnes,units,3566102
2007-07,Canada,"All grains, total",Tonnes,units,4739611
2007-08,Canada,"All grains, total",Tonnes,units,3510912
2007-09,Canada,"All grains, total",Tonnes,units,3461125
2007-10,Canada,"All grains, total",Tonnes,units,3869827
2007-11,Canada,"All grains, total",Tonnes,units,3322532
2007-12,Canada,"All grains, total",Tonnes,units,2975831
2008-01,Canada,"All grains, total",Tonnes,units,2960152
2008-02,Canada,"All grains, total",Tonnes,units,2851918
2008-03,Canada,"All grains, total",Tonnes,units,2795925
2008-04,Canada,"All grains, total",Tonnes,units,2906239
2008-05,Canada,"All grains, total",Tonnes,units,2378521
2008-06,Canada,"All grains, total",Tonnes,units,2793928
2008-07,Canada,"All grains, total",Tonnes,units,3826939
2008-08,Canada,"All grains, total",Tonnes,units,2695110
