NPRI ID,Facility name,Company name,Address,City,Province,Latitude,Longitude,Emissions,Units,Facility details,Facility information,Report year
1,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,,County of Athabasca,Alberta,54.923116,-112.861867,14.8,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=091&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/1,2021
15,Baycoat,"Dofasco Inc., Stelco Inc.",,Hamilton,Ontario,43.2428,-79.7503,0.01,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=0915&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/15,2021
54,Brunswick Mine,Glencore Canada Corporation,Highway 430 Highway West,Bathurst,New Brunswick,47.4717,-65.8897,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=0954&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/54,2021
99,Division Laronde,Les Mines Agnico Eagle Limitée,,Rouyn-Noranda,Quebec,48.2375,-78.3958,10.69,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=0999&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/99,2021
158,Usine St-Léonard,Canada Metal North America Ltd,,Saint-Léonard,Quebec,45.5973,-73.5841,10.33,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09158&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/158,2021
207,Colortech Inc. Brampton,Colortech Inc.,,Brampton,Ontario,43.6972,-79.7044,1.2,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09207&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/207,2021
211,Incinérateur,Ville de Quebec,,Québec,Quebec,46.828385,-71.220097,2.3,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09211&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/211,2021
223,Mercer Peace River,Mercer Peace River Pulp Ltd.,,Md of Northern Lights,Alberta,56.3772,-117.1756,4.95,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09223&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/223,2021
227,Schott Gemtron (Canada) Corporation,Schott Gemtron Corp.,125 Albert Street,Midland,Ontario,44.734,-79.851,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09227&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/227,2021
239,"Cascades Containerboard Packaging, A Division of Cascades Ca",Cascades Canada Ulc,300 Marmora Street,Trenton,Ontario,44.1114,-77.5878,0.22,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09239&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/239,2021
257,Lavo,Lavo,,Montréal,Quebec,45.6572,-73.5398,-,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09257&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/257,2021
267,Genesee Thermal Generating Station,Capital Power Generation Services Inc.,,Warburg,Alberta,53.344,-114.305,107.22,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09267&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/267,2021
279,"Kraft Nordic, S.E.C. - Usine de Pâtes Kraft de Lebel-sur-Qué","Kraft Nordic, S.E.C.",,Lebel-sur-Quévillon,Quebec,49.0254,-76.9538,36.58,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09279&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/279,2021
351,Infinity Rubber - Welland Plant,Infinity Rubber Technology Group,,Welland,Ontario,42.9977,-79.2389,0.98,kilograms (kg),"http://indicators-map.canada.ca/App/Detail?id=09351&GoCTemplateCulture=en-CA
",https://pollution-waste.canada.ca/national-release-inventory/2021/351,2021
